IS_ACTIVE,EC_DATA_CS_ECRECOVER,EC_DATA_ID,EC_DATA_INDEX,EC_DATA_LIMB_0,EC_DATA_LIMB_1,EC_DATA_LIMB_2,EC_DATA_LIMB_3,EC_DATA_LIMB_4,EC_DATA_LIMB_5,EC_DATA_LIMB_6,EC_DATA_LIMB_7,EC_DATA_SUCCESS_BIT,EC_DATA_IS_DATA,EC_DATA_IS_RES
1,1,0,0,0x279d,0x9462,0x1558,0xf755,0x7968,0x98fc,0x4bd3,0x6b6d,1,1,0
1,1,0,1,0x407c,0xae77,0x5378,0x65af,0xe523,0xb79c,0x74cc,0x680b,1,1,0
1,1,0,2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,1,0
1,1,0,3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1b,1,1,0
1,1,0,4,0xc2ff,0x96fe,0xed87,0x49a5,0xad1c,0x0714,0xf950,0xb5ac,1,1,0
1,1,0,5,0x939d,0x8ace,0xdbed,0xcbc2,0x9496,0x14ab,0x8af0,0x6312,1,1,0
1,1,0,6,0x1fee,0xcd50,0xadc6,0x273f,0xdd5d,0x11c6,0xda18,0xc8cf,1,1,0
1,1,0,7,0xe14e,0x2787,0xf5a9,0x0af7,0xc7c1,0x328e,0x7d0a,0x2c42,1,1,0
1,1,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0xb2e1,0x7f39,1,0,1
1,1,0,1,0xd52e,0x0434,0x0f40,0x41e4,0xceb2,0xb028,0x8440,0x6893,1,0,1
1,1,1,0,0x279d,0x9462,0x1558,0xf755,0x7968,0x98fc,0x4bd3,0x6b6d,1,1,0
1,1,1,1,0x407c,0xae77,0x5378,0x65af,0xe523,0xb79c,0x74cc,0x680b,1,1,0
1,1,1,2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,1,0
1,1,1,3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1b,1,1,0
1,1,1,4,0xc2ff,0x96fe,0xed87,0x49a5,0xad1c,0x0714,0xf950,0xb5ac,1,1,0
1,1,1,5,0x939d,0x8ace,0xdbed,0xcbc2,0x9496,0x14ab,0x8af0,0x6312,1,1,0
1,1,1,6,0x1fee,0xcd50,0xadc6,0x273f,0xdd5d,0x11c6,0xda18,0xc8cf,1,1,0
1,1,1,7,0xe14e,0x2787,0xf5a9,0x0af7,0xc7c1,0x328e,0x7d0a,0x2c42,1,1,0
1,1,1,0,0x0,0x0,0x0,0x0,0x0,0x0,0xb2e1,0x7f39,1,0,1
1,1,1,1,0xd52e,0x0434,0x0f40,0x41e4,0xceb2,0xb028,0x8440,0x6893,1,0,1
1,1,2,0,0x7a3b,0x6f7a,0x3da8,0xa596,0x1dc9,0xd2ef,0xa822,0x58d5,1,1,0
1,1,2,1,0x99db,0xd1c0,0x05a8,0x07ed,0x2ca8,0x065a,0x225f,0xa728,1,1,0
1,1,2,2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,1,0
1,1,2,3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x1c,1,1,0
1,1,2,4,0x1421,0xcb07,0x9e37,0xc987,0x2c94,0xed16,0x2444,0x30a2,1,1,0
1,1,2,5,0xe936,0x0e01,0xe9ef,0x6cad,0x37ac,0xc881,0x53e3,0xcd64,1,1,0
1,1,2,6,0xbdef,0xec91,0xe5f8,0xf9da,0xe1d4,0x4c3f,0x1673,0x7400,1,1,0
1,1,2,7,0x993a,0x834e,0x368a,0x3073,0xa557,0x1df7,0x3bc1,0x9c90,1,1,0
1,1,2,0,0x0,0x0,0x0,0x0,0x0,0x0,0x25b9,0x706b,1,0,1
1,1,2,1,0xfb47,0x5b11,0xb4bf,0xaf60,0x426d,0x5298,0x5ed7,0x8aaf,1,0,1
