ECDATA_ID,ECDATA_CS_PAIRING,ECDATA_CS_G2_MEMBERSHIP,ECDATA_INDEX,ECDATA_TOTAL_PAIRINGS,ECDATA_ACC_PAIRINGS,ECDATA_LIMB_0,ECDATA_LIMB_1,ECDATA_LIMB_2,ECDATA_LIMB_3,ECDATA_LIMB_4,ECDATA_LIMB_5,ECDATA_LIMB_6,ECDATA_LIMB_7,ECDATA_SUCCESS_BIT,ECDATA_IS_DATA,ECDATA_IS_RES
0,1,0,0,3,1,0x100f,0xb200,0x6c3a,0x4409,0xce06,0xf6c2,0xd535,0x564c,1,1,0
0,1,0,1,3,1,0x92e5,0x92ae,0xb426,0xd6c0,0x35bb,0x8c0a,0x5020,0x2e6d,1,1,0
0,1,0,2,3,1,0x1275,0x9641,0x41a9,0x0f31,0x7059,0x2ade,0x8217,0x4d09,1,1,0
0,1,0,3,3,1,0xde3c,0xc7f5,0xb79f,0x260f,0x51c1,0x43e3,0x268b,0xa06d,1,1,0
0,1,0,4,3,1,0x2e60,0x7689,0xd116,0x1c5c,0xb3d6,0xed87,0x0a5b,0x6f47,1,1,0
0,1,0,5,3,1,0xb196,0x27c2,0xc51d,0x3d2e,0xb72f,0x81c5,0x40ff,0x9f9d,1,1,0
0,1,0,6,3,1,0x09d2,0xb2eb,0x3993,0x26d9,0xcc55,0x2e97,0x53af,0xaeab,1,1,0
0,1,0,7,3,1,0xbb29,0x985d,0xef8b,0x5800,0xf321,0x4522,0x3ff6,0x1d48,1,1,0
0,1,0,8,3,1,0x03a5,0x9070,0x84b1,0xf9ee,0x93a1,0xfa01,0x1b31,0xb383,1,1,0
0,1,0,9,3,1,0x60b7,0xd50b,0x789f,0xbe32,0xd373,0x3176,0xffd9,0xd46a,1,1,0
0,1,0,10,3,1,0x2e8b,0x82b3,0x5061,0x25e8,0xb67b,0xb867,0x604a,0x8892,1,1,0
0,1,0,11,3,1,0x7b96,0x95a8,0xd131,0x6275,0x03a0,0xf63b,0xfe5d,0x0cca,1,1,0
0,1,0,12,3,2,0x1f5c,0xa3dc,0xd416,0xce98,0x8b93,0xb505,0xe473,0xfbc8,1,1,0
0,1,0,13,3,2,0xa510,0xb9a2,0x5ba4,0xaf91,0xa01c,0xbf2d,0x6649,0x6ba7,1,1,0
0,1,0,14,3,2,0x2ab0,0x7af4,0x5126,0x0653,0xf5d9,0x2e48,0x1356,0x36fe,1,1,0
0,1,0,15,3,2,0x6e69,0xbfad,0x773e,0x8c18,0x06b4,0xe4bb,0x1280,0x48f9,1,1,0
0,1,0,16,3,2,0x1e31,0x1797,0xd9d7,0xb0c3,0xb165,0x8f72,0xe166,0x32e3,1,1,0
0,1,0,17,3,2,0x927a,0xd04f,0x742d,0xed7f,0xe801,0xe8df,0x6e13,0x7325,1,1,0
0,1,0,18,3,2,0x1d05,0x1080,0x3ef7,0x512c,0x7915,0xa687,0x9d46,0x0c72,1,1,0
0,1,0,19,3,2,0x2748,0x0a98,0x574d,0x5d30,0x6828,0x694e,0x1640,0xec2b,1,1,0
0,1,0,20,3,2,0x0bb8,0xfd99,0x36c7,0xa8c8,0xf4a3,0xd9ce,0x9773,0x5df5,1,1,0
0,1,0,21,3,2,0x41af,0x0c73,0x696d,0xff5f,0x92c6,0xeb24,0x8f94,0x9a18,1,1,0
0,1,0,22,3,2,0x15f8,0x3083,0x90c0,0x0f0a,0x0e1e,0xbcd0,0x8626,0xf1ec,1,1,0
0,1,0,23,3,2,0x57a1,0x4cac,0x88cd,0x49f9,0xd0e3,0xcaaa,0x20ce,0x36e9,1,1,0
0,1,0,24,3,3,0x0c86,0x71a7,0xe8f3,0x7208,0x7c46,0xb7b8,0x2c53,0xc183,1,1,0
0,1,0,25,3,3,0xd094,0x5327,0x0e38,0x045c,0xb737,0x2662,0xd471,0x6f8d,1,1,0
0,1,0,26,3,3,0x20dd,0x05e8,0x7836,0x797d,0x4507,0xcc89,0x17ed,0x1079,1,1,0
0,1,0,27,3,3,0xa10f,0xe34d,0xc753,0x6969,0x843e,0x4cbe,0x868a,0x64ac,1,1,0
0,1,0,28,3,3,0x24e4,0x8d89,0x873a,0xd5eb,0xcf0f,0x7022,0xc010,0x20b5,1,1,0
0,1,0,29,3,3,0x1045,0x8a3d,0xfc79,0x8231,0xe6b5,0xd5f1,0x7c8c,0x9e1c,1,1,0
0,1,0,30,3,3,0x2f3b,0xa4b3,0xc58f,0xd373,0x98ce,0xef82,0x6e29,0xc853,1,1,0
0,1,0,31,3,3,0x7048,0xf7fe,0xc191,0x80f8,0x9f49,0x61bf,0x0b00,0xe9c1,1,1,0
0,1,0,32,3,3,0x2ed8,0x7dc2,0x3279,0xbee9,0x5b8c,0xaada,0x387b,0x5f5e,1,1,0
0,1,0,33,3,3,0x04fd,0xd666,0xfda2,0xdf2a,0xac57,0x457e,0xcfb6,0x2014,1,1,0
0,1,0,34,3,3,0x1b77,0xc09a,0x4389,0xd4d5,0x0e5b,0x78a8,0xdca8,0x0583,1,1,0
0,1,0,35,3,3,0x1056,0x618b,0xfe32,0x9ac4,0xdcc8,0xee73,0xec81,0x8284,1,1,0
0,1,0,0,3,0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,1,0,1
0,1,0,1,3,0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000,0x0001,1,0,1
