ID,DATA_G1_MSM,RSLT_G1_MSM,INDEX,CT,IS_FIRST_INPUT,IS_SECOND_INPUT,CIRCUIT_SELECTOR_G1_MSM,CIRCUIT_SELECTOR_G1_MEMBERSHIP,LIMB
0,1,0,0,0,1,0,1,0,0x00000000000000000000000000000000
0,1,0,1,1,1,0,1,0,0x00000000000000000000000000000000
0,1,0,2,2,1,0,1,0,0x00000000000000000000000000000000
0,1,0,3,3,1,0,1,0,0x00000000000000000000000000000000
0,1,0,4,4,1,0,1,0,0x00000000000000000000000000000000
0,1,0,5,5,1,0,1,0,0x00000000000000000000000000000000
0,1,0,6,6,1,0,1,0,0x00000000000000000000000000000000
0,1,0,7,7,1,0,1,0,0x00000000000000000000000000000000
0,1,0,8,0,0,1,1,0,0x00000000000000000000000000000000
0,1,0,9,1,0,1,1,0,0x00000000000000000000000000000000
0,0,1,0,0,0,0,1,0,0x00000000000000000000000000000000
0,0,1,1,1,0,0,1,0,0x00000000000000000000000000000000
0,0,1,2,2,0,0,1,0,0x00000000000000000000000000000000
0,0,1,3,3,0,0,1,0,0x00000000000000000000000000000000
0,0,1,4,4,0,0,1,0,0x00000000000000000000000000000000
0,0,1,5,5,0,0,1,0,0x00000000000000000000000000000000
0,0,1,6,6,0,0,1,0,0x00000000000000000000000000000000
0,0,1,7,7,0,0,1,0,0x00000000000000000000000000000000
1,1,0,0,0,1,0,0,1,0x00000000000000000000000000000000
1,1,0,1,1,1,0,0,1,0x0196e8225b4d22c291ddd86e6905f487
1,1,0,2,2,1,0,0,1,0x71b657051123e45850dd03039c8c3c8f
1,1,0,3,3,1,0,0,1,0x91333baaddc5413f8876627c5f3c844d
1,1,0,4,4,1,0,0,1,0x00000000000000000000000000000000
1,1,0,5,5,1,0,0,1,0x033e719c048639eeebac6083e08d1b57
1,1,0,6,6,1,0,0,1,0xed6e30d928c62caea9c6fb1266793b27
1,1,0,7,7,1,0,0,1,0x41c71f4a2c08a7b954348e08ef47b515
1,1,0,8,0,0,1,0,0,0x00000000000000000000000000000000
1,1,0,9,1,0,1,0,0,0x00000000000000000000000000000000
1,0,1,0,0,0,0,0,0,0x00000000000000000000000000000000
1,0,1,1,1,0,0,0,0,0x00000000000000000000000000000000
1,0,1,2,2,0,0,0,0,0x00000000000000000000000000000000
1,0,1,3,3,0,0,0,0,0x00000000000000000000000000000000
1,0,1,4,4,0,0,0,0,0x00000000000000000000000000000000
1,0,1,5,5,0,0,0,0,0x00000000000000000000000000000000
1,0,1,6,6,0,0,0,0,0x00000000000000000000000000000000
1,0,1,7,7,0,0,0,0,0x00000000000000000000000000000000
2,1,0,0,0,1,0,1,0,0x00000000000000000000000000000000
2,1,0,1,1,1,0,1,0,0x07f4fd8001b602a139b9c0b870c2b222
2,1,0,2,2,1,0,1,0,0x8ed6c1dd20a0b9cd0c957b8855d01848
2,1,0,3,3,1,0,1,0,0x1e02b3d17e419a9d2112c7d483c636f7
2,1,0,4,4,1,0,1,0,0x00000000000000000000000000000000
2,1,0,5,5,1,0,1,0,0x07196b63bea0087c1202f9bf908ace1c
2,1,0,6,6,1,0,1,0,0xcc2b0718226f122b4355566f9c698d16
2,1,0,7,7,1,0,1,0,0x9d3b33803b7a85c8ec8e8a0e7a1121f4
2,1,0,8,0,0,1,1,0,0x00000000000000000000000000000000
