ID,DATA_G1_ADD,RSLT_G1_ADD,INDEX,CT,IS_FIRST_INPUT,IS_SECOND_INPUT,CIRCUIT_SELECTOR_G1_ADD,CIRCUIT_SELECTOR_C1_MEMBERSHIP,LIMB
0,1,0,0,0,1,0,1,0,0x00000000000000000000000000000000
0,1,0,1,1,1,0,1,0,0x00000000000000000000000000000000
0,1,0,2,2,1,0,1,0,0x00000000000000000000000000000000
0,1,0,3,3,1,0,1,0,0x00000000000000000000000000000000
0,1,0,4,4,1,0,1,0,0x00000000000000000000000000000000
0,1,0,5,5,1,0,1,0,0x00000000000000000000000000000000
0,1,0,6,6,1,0,1,0,0x00000000000000000000000000000000
0,1,0,7,7,1,0,1,0,0x00000000000000000000000000000000
0,1,0,8,0,0,1,1,0,0x00000000000000000000000000000000
0,1,0,9,1,0,1,1,0,0x00000000000000000000000000000000
0,1,0,10,2,0,1,1,0,0x00000000000000000000000000000000
0,1,0,11,3,0,1,1,0,0x00000000000000000000000000000000
0,1,0,12,4,0,1,1,0,0x00000000000000000000000000000000
0,1,0,13,5,0,1,1,0,0x00000000000000000000000000000000
0,1,0,14,6,0,1,1,0,0x00000000000000000000000000000000
0,1,0,15,7,0,1,1,0,0x00000000000000000000000000000000
0,0,1,0,0,0,0,1,0,0x00000000000000000000000000000000
0,0,1,1,1,0,0,1,0,0x00000000000000000000000000000000
0,0,1,2,2,0,0,1,0,0x00000000000000000000000000000000
0,0,1,3,3,0,0,1,0,0x00000000000000000000000000000000
0,0,1,4,4,0,0,1,0,0x00000000000000000000000000000000
0,0,1,5,5,0,0,1,0,0x00000000000000000000000000000000
0,0,1,6,6,0,0,1,0,0x00000000000000000000000000000000
0,0,1,7,7,0,0,1,0,0x00000000000000000000000000000000
1,1,0,0,0,1,0,1,0,0x00000000000000000000000000000000
1,1,0,1,1,1,0,1,0,0x00000000000000000000000000000000
1,1,0,2,2,1,0,1,0,0x00000000000000000000000000000000
1,1,0,3,3,1,0,1,0,0x00000000000000000000000000000000
1,1,0,4,4,1,0,1,0,0x00000000000000000000000000000000
1,1,0,5,5,1,0,1,0,0x00000000000000000000000000000000
1,1,0,6,6,1,0,1,0,0x00000000000000000000000000000000
1,1,0,7,7,1,0,1,0,0x00000000000000000000000000000000
1,1,0,8,0,0,1,1,0,0x00000000000000000000000000000000
1,1,0,9,1,0,1,1,0,0x0bcca76da90703bfae5ed4e0ac689ef7
1,1,0,10,2,0,1,1,0,0xa1d15c7c36de67f465e47d504f71bc73
1,1,0,11,3,0,1,1,0,0x082fa51040123618639b968808a20b8d
1,1,0,12,4,0,1,1,0,0x00000000000000000000000000000000
1,1,0,13,5,0,1,1,0,0x12899f9de1d6d474da2aecdd5a632012
1,1,0,14,6,0,1,1,0,0x02e54c407b7c6e1d80f198eb2e2e2a28
1,1,0,15,7,0,1,1,0,0x4eaa851346c11bced91fb4906c70e2f4
1,0,1,0,0,0,0,1,0,0x00000000000000000000000000000000
1,0,1,1,1,0,0,1,0,0x0bcca76da90703bfae5ed4e0ac689ef7
1,0,1,2,2,0,0,1,0,0xa1d15c7c36de67f465e47d504f71bc73
1,0,1,3,3,0,0,1,0,0x082fa51040123618639b968808a20b8d
1,0,1,4,4,0,0,1,0,0x00000000000000000000000000000000
