recipient,amount
0x5AB32aA9AA4362d37B91ADeA475F975c5b8b49D6,3
0xFbcF09f17922045BaF3f07d6EE3319EbdC541F4D,3
0x84f734c6c6fe7bB628E0Ff04Ff0a5776B8D68F9F,3
0xad1E9107C8fBdC9077BEe590236d24932eD13626,3
0x79DE740892Ca53374Bc63E11c36764d4B6d7A22E,3
0x133268C2cfcf556eF9785ACf3503d5648deade3B,3
0x15fF953ad6c670D94e4dB92b4feD71aAE86e2dF5,3
0x8f3ab4c0D4D41694Fea84e30B1309b0628AbdB99,3
0xD09103dA739e2291B9Ae5BC4fdf78C9b193d33b2,3
0x5d5158bA0903Ae8b75c9a86D217a2A9B19Ce7CC1,3
0xa11BA240BB69F33BD2Df34431f3A223933C72A55,3
0x5a087685146aEE03C4a5213b9dF89798A8Db4346,3
0x1DF2F4768296255Cdc6A0c61E027BA0474E9C8FB,3
0xE53090a397A24D43175CFCA53aBCcf1c946ad38d,3
0x038E949623dC819977c302221d831e794e5E7190,10
0xe8FeaF09De55c8ab3D602434b1dE82953157cbC4,10
0x04D45aCA47E8415a6e0181aEDeA0E0a47A82df22,10
0xBA0886b286374BCC8754699775c05fe86b165705,10
0x2EfdF63402611F00B376ff4D050cf20C3848c182,10
0x43908643e7906222d3dD1437fEAD192fa0ef00B0,10
0xa71bC6aA09b069F8BcE18F10f38fAB344066c20F,10
0x72bD87a5E6AeDB332050461296fdCE228A3807C3,10
0x54bD31f7dEcb7D8B6c35a2183c1367088FF680f6,10
0xB075fC522cDa36534b481Fd7Bc03A02f869D7Ba2,10
0x24A46122456213Bf28B27058B16975a66660b9D9,10
0xBB869e62CF10FeeF4353a7D933145a7a0b0C75EE,10
0x0F78a1e88f0d22C663856bBc43278c72230AB45C,10
0x3196ca5cec7ED8bd8d6088d1dd1DdE557376931f,10
0xDE270E4895295686A0AcF79EcE80bDaE2F740577,10
0xa1F0c5bcE51e105cc6315c652810F6F2Fb9222aF,10
0xe19884DA1Ef8dDDA47Dd4bc488A15902ea40770D,10
0xCa98087F8b9e4270C60D6ccF126b444AdB323e56,10
0x49F320A9921E41DB32ba8Adf2a457AafCCd0d9Ed,10
0xf371B86b1C39A991f45A315CE1c4b69d971A8e5e,10
0x8c4eAd2ebE5d3Fd43BE2830a3B9aC05825f3F267,10
0x367Be5C9d5c4B40C6A97cd039e9022EAD66b7C50,10
0x3396141180217598BBf1Fd19DecFf8b7adCA9d58,10
0xeD8895500D9A782cdD25E363A60773311d2b5a1D,10
0x09733F6A4fd5c0a30aa15251b3d75B535A9eD40D,10
0xd36439D183d9aE05FbaA2bf2398349Cd9b1c5c0e,10
0x7E4ce5c226D2cdd9D5A974afd56BdD3A188d6D86,10
0xbc59E0f01d3C31e5a9370321cC808A4e7625C93F,10
0x5e6454b35f3d6C09b36C9eaf9BEF754f53E0cB77,10
0x1C9328aF8f9F5909BB4F61388E52A07Aa5191569,10
0x9CC971e84FE5d09d0967f15AE05dfd553C5A1FA6,10
0x5E0Ca10dD77695d374e28Cf0ed5F20A1A44d1D41,10
0x2a5b2e136083bf1f41a67080647bc809a42df767,10
0xbb01dc9b8444e23c3415e1df33b68d4e7015f0a6,10
0xc185993528e821007a445b150352eeabbfaa99c0,10
0xba5f2a5466b7b5aceb0a144242ff32d36e95a112,10
0xb9b9897b9d2148e07d6ffb9da52ccff3a18ca4d8,10
0x360843139b4ca0bb1f72aef2920ef81b24e47110,10
0xf32554f9c7a65e37c3ff29ad5c58bab699365b0f,10
0x33ff5d8edead9718e1054db973a3d0a0f61a8c78,10
