ECDATA_ID,ECDATA_CS_PAIRING,ECDATA_CS_G2_MEMBERSHIP,ECDATA_INDEX,ECDATA_ACC_PAIRINGS,ECDATA_TOTAL_PAIRINGS,ECDATA_LIMB,ECDATA_SUCCESS_BIT,ECDATA_IS_DATA,ECDATA_IS_RES
0,0,1,0,0,0,0x1d3df5be6084324da6333a6ad1367091,0,1,0
0,0,1,1,0,0,0xca9fbceb70179ec484543a58b8cb5d63,0,1,0
0,0,1,2,0,0,0x119606e6d3ea97cea4eff54433f5c7db,0,1,0
0,0,1,3,0,0,0xc026b8d0670ddfbe6441e31225028d31,0,1,0
0,0,1,4,0,0,0x199a12247d5ad88dfaca291ae8b2326b,0,1,0
0,0,1,5,0,0,0x1b0b8c0efd5e083d0bc8b411a9d48e59,0,1,0
0,0,1,6,0,0,0x1b9a36ea373fe2c5b713557042ce6deb,0,1,0
0,0,1,7,0,0,0x2907d34e12be595f9bbe84c144de86ef,0,1,0
1,0,1,0,0,0,0x15ce93f1b1c4946dd6cfbb3d287d9c9a,0,1,0
1,0,1,1,0,0,0x1cdedb264bda7aada0844416d8a47a63,0,1,0
1,0,1,2,0,0,0x07192b9fd0e2a32e3e1caa8e59462b75,0,1,0
1,0,1,3,0,0,0x7326d48f641924e6a1d00d66478913eb,0,1,0
1,0,1,4,0,0,0x06e1f5e20f68f6dfa8a91a3bea048df6,0,1,0
1,0,1,5,0,0,0x6d9eaf56cc7f11215401f7e05027e0c6,0,1,0
1,0,1,6,0,0,0x0fa65a9b48ba018361ed081e3b9e9584,0,1,0
1,0,1,7,0,0,0x51de5d9e8ae0bd251833ebb4b2fafc96,0,1,0
2,0,1,0,0,0,0x0e82be8514331e947408a3a27a54d580,1,1,0
2,0,1,1,0,0,0x9866db37d74db5abc7de8f0d3d0f7ee3,1,1,0
2,0,1,2,0,0,0x0f89c9a7bb2eb9418d2d89310306196d,1,1,0
2,0,1,3,0,0,0xf1ae8d9de0173f3e1151487bb5157cd7,1,1,0
2,0,1,4,0,0,0x10b30b9925aace81dcec2ccce77c3eea,1,1,0
2,0,1,5,0,0,0xa949c366d7cd71a6a6748bcdd996b762,1,1,0
2,0,1,6,0,0,0x11497987c563ade267b3bdfcc9c04022,1,1,0
2,0,1,7,0,0,0x3e25664c3bcdd28858b1daa7ac249034,1,1,0
