ECDATA_ID,ECDATA_CS_PAIRING,ECDATA_CS_G2_MEMBERSHIP,ECDATA_INDEX,ECDATA_TOTAL_PAIRINGS,ECDATA_ACC_PAIRINGS,ECDATA_LIMB,ECDATA_SUCCESS_BIT,ECDATA_IS_DATA,ECDATA_IS_RES
0,1,0,0,3,1,0x100fb2006c3a4409ce06f6c2d535564c,1,1,0
0,1,0,1,3,1,0x92e592aeb426d6c035bb8c0a50202e6d,1,1,0
0,1,0,2,3,1,0x1275964141a90f3170592ade82174d09,1,1,0
0,1,0,3,3,1,0xde3cc7f5b79f260f51c143e3268ba06d,1,1,0
0,1,0,4,3,1,0x2e607689d1161c5cb3d6ed870a5b6f47,1,1,0
0,1,0,5,3,1,0xb19627c2c51d3d2eb72f81c540ff9f9d,1,1,0
0,1,0,6,3,1,0x09d2b2eb399326d9cc552e9753afaeab,1,1,0
0,1,0,7,3,1,0xbb29985def8b5800f32145223ff61d48,1,1,0
0,1,0,8,3,1,0x03a5907084b1f9ee93a1fa011b31b383,1,1,0
0,1,0,9,3,1,0x60b7d50b789fbe32d3733176ffd9d46a,1,1,0
0,1,0,10,3,1,0x2e8b82b3506125e8b67bb867604a8892,1,1,0
0,1,0,11,3,1,0x7b9695a8d131627503a0f63bfe5d0cca,1,1,0
0,1,0,12,3,2,0x1f5ca3dcd416ce988b93b505e473fbc8,1,1,0
0,1,0,13,3,2,0xa510b9a25ba4af91a01cbf2d66496ba7,1,1,0
0,1,0,14,3,2,0x2ab07af451260653f5d92e48135636fe,1,1,0
0,1,0,15,3,2,0x6e69bfad773e8c1806b4e4bb128048f9,1,1,0
0,1,0,16,3,2,0x1e311797d9d7b0c3b1658f72e16632e3,1,1,0
0,1,0,17,3,2,0x927ad04f742ded7fe801e8df6e137325,1,1,0
0,1,0,18,3,2,0x1d0510803ef7512c7915a6879d460c72,1,1,0
0,1,0,19,3,2,0x27480a98574d5d306828694e1640ec2b,1,1,0
0,1,0,20,3,2,0x0bb8fd9936c7a8c8f4a3d9ce97735df5,1,1,0
0,1,0,21,3,2,0x41af0c73696dff5f92c6eb248f949a18,1,1,0
0,1,0,22,3,2,0x15f8308390c00f0a0e1ebcd08626f1ec,1,1,0
0,1,0,23,3,2,0x57a14cac88cd49f9d0e3caaa20ce36e9,1,1,0
0,1,0,24,3,3,0x0c8671a7e8f372087c46b7b82c53c183,1,1,0
0,1,0,25,3,3,0xd09453270e38045cb7372662d4716f8d,1,1,0
0,1,0,26,3,3,0x20dd05e87836797d4507cc8917ed1079,1,1,0
0,1,0,27,3,3,0xa10fe34dc7536969843e4cbe868a64ac,1,1,0
0,1,0,28,3,3,0x24e48d89873ad5ebcf0f7022c01020b5,1,1,0
0,1,0,29,3,3,0x10458a3dfc798231e6b5d5f17c8c9e1c,1,1,0
0,1,0,30,3,3,0x2f3ba4b3c58fd37398ceef826e29c853,1,1,0
0,1,0,31,3,3,0x7048f7fec19180f89f4961bf0b00e9c1,1,1,0
0,1,0,32,3,3,0x2ed87dc23279bee95b8caada387b5f5e,1,1,0
0,1,0,33,3,3,0x04fdd666fda2df2aac57457ecfb62014,1,1,0
0,1,0,34,3,3,0x1b77c09a4389d4d50e5b78a8dca80583,1,1,0
0,1,0,35,3,3,0x1056618bfe329ac4dcc8ee73ec818284,1,1,0
0,1,0,0,3,0,0x0,1,0,1
0,1,0,1,3,0,0x1,1,0,1
